popularity,title,artist,year,decade,original_vocal,categories,social_singing,version,vibe_tag,theme_tag,theme_labels,songID
1,Love Sneakin' Up on You,Bonnie Raitt,1994,90s,Female,"Pop, Pop Rock, Blues, Classic Rock",,,,,,Love Sneakin' Up on YouBonnie Raitt
1,Love Somebody,Morgan Wallen,2024,2020s,Male,"Country, Contemporary Country, Country Pop",,,,,,Love SomebodyMorgan Wallen
1,Love Train,The O'Jays,1977,70s,Male,"Pop, Soul, R&B, Disco, Electronic",,,,,,Love TrainThe O'Jays
1,Love You Inside Out,Bee Gees,1979,70s,Male,"Pop, Dance-Pop, Pop Rock, Disco, Dance",,,,,,Love You Inside OutBee Gees
1,Love You Like I Used To,Russell Dickerson,2020,2020s,Male,Country,,,,,,Love You Like I Used ToRussell Dickerson
1,Love Your Memory,Miranda Lambert,2005,2000s,Female,"Country, Contemporary Country, Country Pop, Singer-Songwriter",,,,,,Love Your MemoryMiranda Lambert
1,Loverboy,Billy Ocean,1984,80s,Male,"Pop, Dance-Pop, Pop Rock, Adult Contemporary, Contemporary R&B, Disco",,,,,,LoverboyBilly Ocean
1,Loves Me Like a Rock,Paul Simon,1973,70s,Male,"Pop, Pop Rock, Folk, Classic Rock",,,,,,Loves Me Like a RockPaul Simon
1,Lovin' Her Was Easier,Waylon Jennings,2015,2010s,Male,"Country, Americana, Outlaw Country",,,,,,Lovin' Her Was EasierWaylon Jennings
1,Lowdown,Boz Scaggs,1976,70s,Male,"Pop, Pop Rock, Adult Contemporary, Classic Rock",,,,,,LowdownBoz Scaggs
1,Lust for Life,Lana Del Rey & The Weeknd,2017,2010s,Female,Pop,,,,,,Lust for LifeLana Del Rey & The Weeknd
1,"Mírala, míralo",Alejandra Guzmán,1993,90s,Female,"Pop, Pop Rock, Latin Pop, Latin",,,,,,"Mírala, míraloAlejandra Guzmán"
1,Macarena,Los del Río,1996,90s,Male,Latin,,,"Guilty Pleasure, One-Hit Wonder",,,MacarenaLos del Río
1,MacArthur Park,Donna Summer,1978,70s,Female,"Pop, Dance-Pop, Soul, Disco, Rock, Dance",,,"Diva Moment, Guilty Pleasure",,,MacArthur ParkDonna Summer
1,Make Me Like You,Gwen Stefani,2016,2010s,Female,"Pop, Dance-Pop, Electropop, Disco, Electronic",,,,,,Make Me Like YouGwen Stefani
1,Make Ya Body Whistle,Cataracs & Dev,2025,2020s,Female,"Pop, Electropop, Hip-Hop, Dance, House",,,,,,Make Ya Body WhistleCataracs & Dev
1,Making Love Out of Nothing at All,Air Supply,1983,80s,Male,"Pop, Adult Contemporary, Soft Rock, Classic Rock",,,,,,Making Love Out of Nothing at AllAir Supply
1,Mama,Genesis,1983,80s,Male,"Pop, Pop Rock, Folk, Progressive Rock",,,,,,MamaGenesis
1,Mama Said,The Shirelles,1975,70s,Female,Pop,,,,,,Mama SaidThe Shirelles
1,Man of Steel,Hank Williams Jr.,1983,80s,Male,"Country, Americana, Outlaw Country, Southern Rock, Singer-Songwriter",,,,,,Man of SteelHank Williams Jr.
1,Maneater,Nelly Furtado,2006,2000s,Female,"Pop, Dance-Pop, Indie Rock, Electronic",,,,,,ManeaterNelly Furtado
1,Mannish Boy,Muddy Waters,1968,60s,Male,Blues,,,,,,Mannish BoyMuddy Waters
1,Maria (Shut Up and Kiss Me),Willie Nelson,2002,2000s,Male,"Country, Country Pop, Americana, Outlaw Country, Blues",,,,,,Maria (Shut Up and Kiss Me)Willie Nelson
1,Mary Did You Know,Helen Cornelius,1996,90s,Female,"Country, Country Pop",,,,,,Mary Did You KnowHelen Cornelius
1,Master Blaster (Jammin'),Stevie Wonder,1980,80s,Male,"Soul, R&B, Contemporary R&B, Funk, Motown",,,,,,Master Blaster (Jammin')Stevie Wonder
1,Matilda,Harry Styles,2022,2020s,Male,"Pop, Dance-Pop, Soul, Funk, Rock",,,,,,MatildaHarry Styles
1,Maybe I Know,Lesley Gore,1964,60s,Female,Pop,,,,,,Maybe I KnowLesley Gore
1,Me and God,Josh Turner,2006,2000s,Male,"Country, Contemporary Country, Modern Country, Country Pop",,,,,,Me and GodJosh Turner
1,Me and My Shadow,Frank Sinatra & Sammy Davis Jr.,1962,60s,Male,"Pop, Jazz",Duets,,,,,Me and My ShadowFrank Sinatra & Sammy Davis Jr.
1,Me and Those Dreamin' Eyes of Mine,D'Angelo,1995,90s,Male,"Pop, Soul, R&B, Contemporary R&B, Hip-Hop",,,,,,Me and Those Dreamin' Eyes of MineD'Angelo
1,"Me, Myself and I",Beyoncé,2003,2000s,Female,"Pop, Dance-Pop, Soul, R&B",,,,,,"Me, Myself and IBeyoncé"
1,Me vale,Man,1992,90s,Male,"Rock, Latin",,,,,,Me valeMan
1,Mean to Me,Brett Eldredge,2013,2010s,,,,,,,,Mean to MeBrett Eldredge
1,Meet Me Half Way,Kenny Loggins,1987,80s,Male,"Pop, Soft Rock, Folk Rock, Yacht Rock",,,,,,Meet Me Half WayKenny Loggins
1,Melissa,The Allman Brothers Band,1974,70s,Male,"Rock, Pop Rock, Classic Rock, Blues Rock, Blues",,,Dad Rock,,,MelissaThe Allman Brothers Band
1,Mellow Yellow,Donovan,1967,60s,Male,"Pop, Folk, Singer-Songwriter, Classic Rock",,,,,,Mellow YellowDonovan
1,Memories,Barbra Streisand,1981,80s,Female,Pop,,,Diva Moment,,,MemoriesBarbra Streisand
1,Memories,David Guetta,2010,2010s,Male,"Pop, Dance-Pop, Electropop, Dance, EDM, Electro House",,,,,,MemoriesDavid Guetta
1,Mercy Mercy Me,Marvin Gaye,1971,70s,Male,"Soul, R&B, Contemporary R&B, Funk, Motown",,,,,,Mercy Mercy MeMarvin Gaye
1,Mesmerize,Ja Rule feat. Ashanti,2002,2000s,Mixed,"Soul, R&B, Contemporary R&B, Hip-Hop, Pop Rap",,,,,,MesmerizeJa Rule feat. Ashanti
1,Mi golondrina,Ramón Ayala,2004,2000s,Male,Latin,,,,,,Mi golondrinaRamón Ayala
1,Midnight Memories,One Direction,2013,2010s,Male,"Pop, Dance-Pop, Teen Pop, Pop Rock",,,Boy Band,,,Midnight MemoriesOne Direction
1,Minimum Wage,Blake Shelton,2021,2020s,Male,"Country, Contemporary Country, Country Pop",,,,,,Minimum WageBlake Shelton
1,Miracle,Cascada,2004,2000s,Female,"Pop, Dance-Pop, Electropop, Dance, EDM",,Radio,,,,MiracleCascada
1,Miracle,Foo Fighters,2005,2000s,Male,"Rock, Hard Rock, Grunge, Alternative Rock",,,,,,MiracleFoo Fighters
1,Misery,Maroon 5,2010,2010s,Male,"Rock, Pop Rock, Alternative Rock, Indie Rock",,,,,,MiseryMaroon 5
1,Misled,Kool & the Gang,1984,80s,Male,"Pop, Dance-Pop, Soul, R&B, Contemporary R&B, Disco",,,,,,MisledKool & the Gang
1,Miss Me Baby,Chris Cagle,2005,2000s,Male,"Country, Contemporary Country, Modern Country, Alt-Country",,,,,,Miss Me BabyChris Cagle
1,Miss Murder,AFI,2006,2000s,Male,"Rock, Alternative Rock, Punk",,,,,,Miss MurderAFI
1,Miss You,Aaliyah,2002,2000s,Female,"Pop, R&B, Contemporary R&B, Hip-Hop, Pop Rap",,,,,,Miss YouAaliyah
1,Missed Call,Treaty Oak Revival,2021,2020s,Male,,,,,,,Missed CallTreaty Oak Revival
1,Missing You,Diana Ross,1984,80s,Female,"Soul, R&B, Disco, Motown, Electronic",,,Diva Moment,,,Missing YouDiana Ross
1,Mississippi Queen,Ozzy Osbourne,2005,2000s,Male,"Rock, Classic Rock, Hard Rock, Heavy Metal, Metal",,,,,,Mississippi QueenOzzy Osbourne
1,Misty Blue,Dorothy Moore,1976,70s,Female,"Blues, Soul, R&B, Disco, Gospel",,,,,,Misty BlueDorothy Moore
1,Misunderstanding,Genesis,1980,80s,Male,"Pop, Pop Rock, Folk, Progressive Rock",,,,,,MisunderstandingGenesis
1,Mo Money Mo Problems,The Notorious B.I.G. ft. Puff Daddy & Mase,1997,90s,Male,Hip-Hop,,,,,,Mo Money Mo ProblemsThe Notorious B.I.G. ft. Puff Daddy & Mase
1,Mohammed's Radio,Linda Ronstadt,1978,70s,Female,"Pop, Pop Rock, Country Rock",,,,,,Mohammed's RadioLinda Ronstadt
1,Moments,Emerson Drive,2006,2000s,Male,"Country, Contemporary Country, Modern Country",,,,,,MomentsEmerson Drive
1,Mona Lisas and Mad Hatters,Elton John,2001,2000s,Male,"Pop, Pop Rock, Country, Classic Rock",,,,,,Mona Lisas and Mad HattersElton John
1,Money,Barrett Strong,1987,80s,Male,"Soul, R&B, Motown",,,,,,MoneyBarrett Strong
1,Money Don't Matter 2 Night,Prince,1992,90s,Male,"Pop, Dance-Pop, Pop Rock, Adult Contemporary, R&B",,,,,,Money Don't Matter 2 NightPrince
1,Money Maker,Ludacris ft. Pharrell Williams,2006,2000s,Male,Hip-Hop,,,,,,Money MakerLudacris ft. Pharrell Williams
1,Money on My Mind,Sam Smith,2014,2010s,Male,"Pop, Synth-Pop, R&B, Electronic",,,,,,Money on My MindSam Smith
1,Monkey Gone to Heaven,Pixies,1989,80s,Male,"Rock, Alternative Rock, Indie Rock, Punk Rock",,,,,,Monkey Gone to HeavenPixies
1,Mony Mony,Billy Idol,1981,80s,Male,"Rock, Pop Rock, Classic Rock, Hard Rock, Country",,,,,,Mony MonyBilly Idol
1,Moon River,Andy Williams,1979,70s,Male,Jazz,,,,,,Moon RiverAndy Williams
1,Moon River,Frank Sinatra,1961,60s,Male,"Pop, Traditional Pop, Vocal Jazz, Jazz",,,,,,Moon RiverFrank Sinatra
1,Moonlight Feels Right,Starbuck,1975,70s,Male,"Pop, Pop Rock, Soft Rock",,,,,,Moonlight Feels RightStarbuck
1,Moonshadow,Cat Stevens,1971,70s,Male,"Pop, Pop Rock, Folk, Classic Rock",,,,,,MoonshadowCat Stevens
1,More of a Man,Rodney Carrington,2000,2000s,Male,Country,,,,,,More of a ManRodney Carrington
1,More Than a Memory,Garth Brooks,2007,2000s,Male,"Country, Contemporary Country, Country Pop, Bluegrass",,,,,,More Than a MemoryGarth Brooks
1,Morning Train (Nine to Five),Sheena Easton,1980,80s,Female,"Pop, Dance-Pop, Adult Contemporary, Disco, Rock",,,,,,Morning Train (Nine to Five)Sheena Easton
1,Mother Mother,Tracy Bonham,1996,90s,Female,"Pop, Singer-Songwriter, Alternative Rock",,,,,,Mother MotherTracy Bonham
1,Mother Nature's Son,The Beatles,1968,60s,Male,"Pop, Pop Rock, Classic Rock, Britpop",,,,,,Mother Nature's SonThe Beatles
1,Moto Psycho,Megadeth,2000,2000s,Male,"Rock, Hard Rock, Heavy Metal, Metal",,,,,,Moto PsychoMegadeth
1,Move Over,Janis Joplin,1970,70s,Female,"Blues, Soul, Folk, Rock",,,,,,Move OverJanis Joplin
1,Move This,Technotronic,1989,80s,Female,"Pop, Dance-Pop, Electronic, Dance, House",,,,,,Move ThisTechnotronic
1,Movin' On,Bad Company,1974,70s,Male,"Rock, Classic Rock, Hard Rock",,,Dad Rock,,,Movin' OnBad Company
1,Mr. Bojangles,The Nitty Gritty Dirt Band,1974,70s,Male,"Country, Country Rock, Bluegrass, Folk, Folk Rock",,,,,,Mr. BojanglesThe Nitty Gritty Dirt Band
1,Mr. Pitiful,Otis Redding,1967,60s,Male,"Blues, Soul, R&B, Motown",,,,,,Mr. PitifulOtis Redding
1,Mr. Too Damn Good,Gerald Levert,2000,2000s,Male,Pop,,,,,,Mr. Too Damn GoodGerald Levert
1,Mudshovel,Staind,1999,90s,Male,"Rock, Hard Rock, Alternative Rock, Heavy Metal, Alternative Metal",,,,,,MudshovelStaind
1,Mujeres divinas,Vicente Fernández,1988,80s,Male,"Latin, Latin Pop",,,,,,Mujeres divinasVicente Fernández
1,Music Box,Mariah Carey,1993,90s,Female,"Pop, Dance-Pop, R&B, Contemporary R&B, Hip-Hop",,,,,,Music BoxMariah Carey
1,Muskrat Love,Captain & Tennille,1976,70s,Mixed,"Pop, Soft Rock, Disco",,,,,,Muskrat LoveCaptain & Tennille
1,My Boyfriend's Back,The Angels,1970,70s,Female,,,,,,,My Boyfriend's BackThe Angels
1,My Doorbell,The White Stripes,2005,2000s,Male,"Rock, Alternative Rock, Indie Rock, Garage Rock",,,,,,My DoorbellThe White Stripes
1,My Funny Valentine,Ella Fitzgerald,2004,2000s,Female,"Pop, Traditional Pop, Vocal Jazz, Jazz, Blues",,,,,,My Funny ValentineElla Fitzgerald
1,My Girl,Dylan Scott,2016,2010s,Male,"Country, Contemporary Country",,,,,,My GirlDylan Scott
1,My Happiness,Connie Francis,1980,80s,Female,Pop,,,,,,My HappinessConnie Francis
1,My Humps,Alanis Morissette,2007,2000s,Female,"Pop, Dance-Pop, Pop Rock, Alternative Rock",,,,,,My HumpsAlanis Morissette
1,My Love,Justin Timberlake,2007,2000s,Male,"Pop, Dance-Pop, Electropop, R&B, Contemporary R&B",,,,,,My LoveJustin Timberlake
1,My Love,Westlife,2000,2000s,Male,"Pop, Adult Contemporary",,,Boy Band,,,My LoveWestlife
1,My Love Is the Shhh (Benzi vs Sega edit),Something for the People,2013,2010s,Female,"R&B, Contemporary R&B",,,,,,My Love Is the Shhh (Benzi vs Sega edit)Something for the People
1,"My, My, My",Johnny Gill,1990,90s,Male,"Soul, R&B, Contemporary R&B",,,,,,"My, My, MyJohnny Gill"
1,My One True Friend,Bette Midler,1998,90s,Female,"Pop, Soft Rock, Rock",,,,,,My One True FriendBette Midler
1,My Shot (sped up nightcore),"Lin-Manuel Miranda, Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Leslie Odom, Jr. & Original Broadway Cast of ""Hamilton""",2025,2020s,Male,"Hip-Hop, Musical Theatre, Show Tune, Soundtrack",,,,,,"My Shot (sped up nightcore)Lin-Manuel Miranda, Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Leslie Odom, Jr. & Original Broadway Cast of ""Hamilton"""
1,My Wave,Soundgarden,1994,90s,Male,"Rock, Grunge, Alternative Rock, Heavy Metal, Alternative Metal",,,,,,My WaveSoundgarden
1,My Wife Thinks You're Dead,Junior Brown,1993,90s,Male,"Country, Alt-Country, Americana",,,,,,My Wife Thinks You're DeadJunior Brown
1,My World Is Empty Without You,The Supremes,1993,90s,Female,"Pop, Soul, R&B, Disco, Motown",,,,,,My World Is Empty Without YouThe Supremes
1,Nah!,Shania Twain,2002,2000s,Female,"Country, Contemporary Country, Country Pop, Pop Rock",,,,,,Nah!Shania Twain
1,Nasty,Janet Jackson,1986,80s,Female,"Pop, Dance-Pop, Contemporary R&B, Rock",,,,,,NastyJanet Jackson
1,Nature Boy,Nat King Cole,1963,60s,Male,"Pop, Traditional Pop, Vocal Jazz, Jazz",,,,,,Nature BoyNat King Cole
1,Necklace,Gabriella Rose,2025,2020s,Female,,,,,,,NecklaceGabriella Rose
1,Neon Church,Tim McGraw,2018,2010s,Male,"Country, Contemporary Country, Country Pop, Adult Contemporary",,,,,,Neon ChurchTim McGraw
1,Neutron Dance,The Pointer Sisters,1985,80s,Female,"Pop, Dance-Pop, Soul, Contemporary R&B, Disco",,,,,,Neutron DanceThe Pointer Sisters
1,Never Gonna Give You Up,Barry White,1989,80s,Male,"Pop, Soul, R&B, Funk, Disco",,,,,,Never Gonna Give You UpBarry White
1,Never Gonna Say I'm Sorry,Ace of Base,1995,90s,Mixed,"Pop, Dance-Pop, Electronic, Ska, Reggae",,,,,,Never Gonna Say I'm SorryAce of Base
1,Never Knew Love Like This Before,Stephanie Mills,1981,80s,Female,"Jazz, Soul, Contemporary R&B, Gospel",,,,,,Never Knew Love Like This BeforeStephanie Mills
1,Never Let Me Down,Depeche Mode,2011,2010s,Male,"Pop, Synth-Pop, Alternative Rock, New Wave, Electronic",,,,,,Never Let Me DownDepeche Mode
1,Never Let You Go,Third Eye Blind,1999,90s,Male,"Rock, Post-Grunge, Alternative Rock, Pop",,,,,,Never Let You GoThird Eye Blind
